Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
SKQ201910S,CE04,CE04OSSM-00008 and CE04OSSM-00007,44.36050,-124.94150,2019-04-20T21:28:33.000Z,1,*0000000000000100,591,SKQ201910S_ctd001,*0000000000000100,1,*0000000000000100,2019-04-20T21:53:00.000Z,585.48,*0000000000000100,579.95,44.36046,-124.94144,4.5353,*0000000000000100,4.5361,*0000000000000100,3.2629,*0000000010000100,3.2626,*0000000010000100,34.2166,34.2124,0.3427,*0000000010000100,7.1898,0.0724,*0000000010000100,0.1052,97.40,*0000000000000100,7.520,*0000000010000100,0.373,*0000000000000100,*0000000000001000,0.0029,0.0207,1.1146,*0000000000000100,*0000000000001000,3.0877,91.1060,40.6754,0.0674,0.1160,*0000000000000100,*0000000000001000,34.2261,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2335.74,*0000000000000101,*0000000000000100,1176.39,23.8,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2338.87,-9999999,-9999999,7.583,62.66,2230.14,42.94,0.886,0.573
SKQ201910S,CE04,CE04OSSM-00008 and CE04OSSM-00007,44.36050,-124.94150,2019-04-20T21:28:33.000Z,1,*0000000000000100,591,SKQ201910S_ctd001,*0000000000000100,1,*0000000000000100,2019-04-20T21:53:00.000Z,585.48,*0000000000000100,579.95,44.36046,-124.94144,4.5353,*0000000000000100,4.5361,*0000000000000100,3.2629,*0000000000000100,3.2626,*0000000000000100,34.2166,34.2124,0.3427,*0000000010000100,7.1898,0.0724,*0000000010000100,0.1052,97.40,*0000000000000100,7.520,*0000000000000100,0.377,*0000000000000100,*0000000000001000,0.0029,0.0226,1.1072,*0000000000000100,*0000000000001000,3.0903,91.2663,40.2621,0.0820,0.2367,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201910S,CE04,CE04OSSM-00008 and CE04OSSM-00007,44.36050,-124.94150,2019-04-20T21:28:33.000Z,1,*0000000000000100,591,SKQ201910S_ctd001,*0000000000000100,4,*0000000000000100,2019-04-20T22:06:37.000Z,8.36,*0000000000000100,8.29,44.36046,-124.94144,11.3359,*0000000000000100,11.3325,*0000000000000100,3.6659,*0000000010000100,3.6654,*0000000010000100,32.3305,32.3284,6.2495,*0000000010000100,6.2414,0.6209,*0000000010000100,0.1975,95.18,*0000000000000100,8.207,*0000000010000100,6.366,*0000000000000100,*0000000000001000,0.4307,0.1226,1.7310,*0000000000000100,*0000000000001000,0.3046,1.2272,0.1503,0.0099,0.4382,*0000000000000100,*0000000000001000,32.3380,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,1988.04,*0000000000000101,*0000000000000100,369.23,23.8,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2162.86,-9999999,-9999999,8.056,15.75,1846.24,126.05,2.966,1.931
SKQ201910S,CE04,CE04OSSM-00008 and CE04OSSM-00007,44.36050,-124.94150,2019-04-20T21:28:33.000Z,1,*0000000000000100,591,SKQ201910S_ctd001,*0000000000000100,4,*0000000000000100,2019-04-20T22:06:37.000Z,8.36,*0000000000000100,8.29,44.36046,-124.94144,11.3359,*0000000000000100,11.3325,*0000000000000100,3.6659,*0000000000000100,3.6654,*0000000000000100,32.3305,32.3284,6.2495,*0000000010000100,6.2414,0.6209,*0000000010000100,0.1975,95.18,*0000000000000100,8.207,*0000000000000100,6.368,*0000000000000100,*0000000000001000,0.3891,0.1429,1.6867,*0000000000000100,*0000000000001000,0.4912,1.3858,0.1646,-0.0043,0.1819,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201910S,CE04,CE04OSSM-00008 and CE04OSSM-00007,44.36050,-124.94150,2019-04-20T21:28:33.000Z,1,*0000000000000100,591,SKQ201910S_ctd001,*0000000000000100,7,*0000000000000100,2019-04-20T22:07:58.000Z,4.95,*0000000000000100,4.91,44.36046,-124.94143,11.4388,*0000000000000100,11.4393,*0000000000000100,3.6716,*0000000010000100,3.6713,*0000000010000100,32.2974,32.2940,6.2288,*0000000010000100,6.2290,0.5077,*0000000010000100,0.1729,95.77,*0000000000000100,8.207,*0000000010000100,6.360,*0000000000000100,*0000000000001000,0.3019,0.1038,1.6988,*0000000000000100,*0000000000001000,0.4690,1.0328,0.1198,-0.0128,0.2353,*0000000000000100,*0000000000001000,32.3066,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,1999,*0000000000000101,*0000000000000100,337.43,23.8,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2192.77,-9999999,-9999999,8.096,14.35,1846.23,138.42,3.26,2.123
SKQ201910S,CE04,CE04OSSM-00008 and CE04OSSM-00007,44.36050,-124.94150,2019-04-20T21:28:33.000Z,1,*0000000000000100,591,SKQ201910S_ctd001,*0000000000000100,7,*0000000000000100,2019-04-20T22:07:58.000Z,4.95,*0000000000000100,4.91,44.36046,-124.94143,11.4388,*0000000000000100,11.4393,*0000000000000100,3.6716,*0000000000000100,3.6713,*0000000000000100,32.2974,32.2940,6.2288,*0000000010000100,6.2290,0.5077,*0000000010000100,0.1729,95.77,*0000000000000100,8.207,*0000000000000100,6.358,*0000000000000100,*0000000000001000,0.2830,0.1138,1.6697,*0000000000000100,*0000000000001000,0.4677,1.0209,0.0113,0.0422,0.0596,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201910S,CE02,CE02SHSM-00009 and CE02SHSM-00008,44.63750,-124.30617,2019-04-21T13:54:30.000Z,2,*0000000000000100,80,SKQ201910S_ctd002,*0000000000000100,1,*0000000000000100,2019-04-21T14:07:25.000Z,76.61,*0000000000000100,75.97,44.63748,-124.30620,9.0563,*0000000000000100,9.0585,*0000000000000100,3.5874,*0000000010000100,3.5870,*0000000010000100,33.5790,33.5727,3.3238,*0000000010000100,6.5059,0.0861,*0000000010000100,0.2209,94.63,*0000000000000100,6.864,*0000000010000100,3.473,*0000000000000100,*0000000000001000,0.0708,0.1250,1.3397,*0000000000000100,*0000000000001000,1.8268,24.8821,20.7399,0.0913,0.0051,*0000000000000100,*0000000000001000,33.5456,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2182.18,*0000000000000101,*0000000000000100,679.19,23.8,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2271.37,-9999999,-9999999,7.83,31.01,2071.6,79.56,1.827,1.186
SKQ201910S,CE02,CE02SHSM-00009 and CE02SHSM-00008,44.63750,-124.30617,2019-04-21T13:54:30.000Z,2,*0000000000000100,80,SKQ201910S_ctd002,*0000000000000100,1,*0000000000000100,2019-04-21T14:07:25.000Z,76.61,*0000000000000100,75.97,44.63748,-124.30620,9.0563,*0000000000000100,9.0585,*0000000000000100,3.5874,*0000000000000100,3.5870,*0000000000000100,33.5790,33.5727,3.3238,*0000000010000100,6.5059,0.0861,*0000000010000100,0.2209,94.63,*0000000000000100,6.864,*0000000000000100,3.479,*0000000000000100,*0000000000001000,0.0633,0.1219,1.3208,*0000000000000100,*0000000000001000,1.0285,17.8791,15.0710,0.0943,0.4901,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201910S,CE02,CE02SHSM-00009 and CE02SHSM-00008,44.63750,-124.30617,2019-04-21T13:54:30.000Z,2,*0000000000000100,80,SKQ201910S_ctd002,*0000000000000100,4,*0000000000000100,2019-04-21T14:11:16.000Z,8.06,*0000000000000100,7.99,44.63748,-124.30622,11.8138,*0000000000000100,11.8135,*0000000000000100,3.5734,*0000000010000100,3.5724,*0000000010000100,31.0224,31.0123,6.3597,*0000000010000100,6.2296,0.8815,*0000000010000100,0.4692,88.93,*0000000000000100,6.869,*0000000010000100,6.474,*0000000000000100,*0000000000001000,0.7868,0.1115,1.8224,*0000000000000100,*0000000000001000,0.3285,2.3493,-0.0150,0.0686,0.9417,*0000000000000100,*0000000000001000,31.0441,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,1927.44,*0000000000000101,*0000000000000100,323.94,23.8,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2114.23,-9999999,-9999999,8.101,13.71,1780.63,133.11,3.17,2.066
SKQ201910S,CE02,CE02SHSM-00009 and CE02SHSM-00008,44.63750,-124.30617,2019-04-21T13:54:30.000Z,2,*0000000000000100,80,SKQ201910S_ctd002,*0000000000000100,4,*0000000000000100,2019-04-21T14:11:16.000Z,8.06,*0000000000000100,7.99,44.63748,-124.30622,11.8138,*0000000000000100,11.8135,*0000000000000100,3.5734,*0000000000000100,3.5724,*0000000000000100,31.0224,31.0123,6.3597,*0000000010000100,6.2296,0.8815,*0000000010000100,0.4692,88.93,*0000000000000100,6.869,*0000000000000100,6.473,*0000000000000100,*0000000000001000,0.7546,0.1188,1.8112,*0000000000000100,*0000000000001000,0.3358,2.1668,0.0951,0.0659,0.2734,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
