Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
SKQ201921S,CE07,CE07SHSM-00010 and CE07SHSM-00009,46.98550,-124.56417,2019-10-10T21:26:22.000Z,1,*0000000000000100,88,SKQ201921S_CTD001,*0000000000000100,1,*0000000000000100,2019-10-10T21:36:35.000Z,85.38,*0000000000000100,84.66,46.98542,-124.56413,8.1433,*0000000000000100,8.1491,*0000000000000100,3.5189,*0000000010000100,3.5182,*0000000010000100,33.7235,33.7108,2.0471,*0000000010000100,6.6335,-0.0457,*0000000010000100,0.3763,91.02,*0000000000000100,7.535,*0000000010000100,2.073,*0000000000000100,*0000000000001000,0.075,0.255,1.2129,*0000000000000100,*0000000000001000,2.4823,44.7137,28.3578,0.2951,0.1241,*0000000000000100,*0000000000001000,33.7224,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2249.49,*0000000000000101,*0000000000000100,918.74,21.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2297.92,-9999999,-9999999,7.71,43.23,2145.57,60.69,1.389,0.900
SKQ201921S,CE07,CE07SHSM-00010 and CE07SHSM-00009,46.98550,-124.56417,2019-10-10T21:26:22.000Z,1,*0000000000000100,88,SKQ201921S_CTD001,*0000000000000100,1,*0000000000000100,2019-10-10T21:36:35.000Z,85.38,*0000000000000100,84.66,46.98542,-124.56413,8.1433,*0000000000000100,8.1491,*0000000000000100,3.5189,*0000000000000100,3.5182,*0000000000000100,33.7235,33.7108,2.0471,*0000000010000100,6.6335,-0.0457,*0000000010000100,0.3763,91.02,*0000000000000100,7.535,*0000000000000100,2.077,*0000000000000100,*0000000000001000,0.084,0.162,1.3215,*0000000000000100,*0000000000001000,2.4363,42.9720,28.3653,0.2810,1.4230,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201921S,CE07,CE07SHSM-00010 and CE07SHSM-00009,46.98550,-124.56417,2019-10-10T21:26:22.000Z,1,*0000000000000100,88,SKQ201921S_CTD001,*0000000000000100,4,*0000000000000100,2019-10-10T21:41:30.000Z,7.80,*0000000000000100,7.74,46.98542,-124.56412,13.6764,*0000000000000100,13.6688,*0000000000000100,3.7747,*0000000010000100,3.7726,*0000000010000100,31.3834,31.3701,5.7328,*0000000010000100,5.9788,4.0847,*0000000010000100,0.5304,87.58,*0000000000000100,8.158,*0000000010000100,5.666,*0000000000000100,*0000000000001000,6.119,5.173,1.5088,*0000000000000100,*0000000000001000,0.4637,7.5993,0.1265,0.0923,0.2963,*0000000000000100,*0000000000001000,31.3826,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,1961.32,*0000000000000101,*0000000000000100,350.63,21.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2155.76,-9999999,-9999999,8.078,13.94,1808.1,139.28,3.308,2.163
SKQ201921S,CE07,CE07SHSM-00010 and CE07SHSM-00009,46.98550,-124.56417,2019-10-10T21:26:22.000Z,1,*0000000000000100,88,SKQ201921S_CTD001,*0000000000000100,4,*0000000000000100,2019-10-10T21:41:30.000Z,7.80,*0000000000000100,7.74,46.98542,-124.56412,13.6764,*0000000000000100,13.6688,*0000000000000100,3.7747,*0000000000000100,3.7726,*0000000000000100,31.3834,31.3701,5.7328,*0000000010000100,5.9788,4.0847,*0000000010000100,0.5304,87.58,*0000000000000100,8.158,*0000000000000100,5.807,*0000000000000100,*0000000000001000,4.600,1.764,1.6787,*0000000000000100,*0000000000001000,0.5706,6.3760,0.4264,0.0835,0.1653,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201921S,CE07,CE07SHSM-00010 and CE07SHSM-00009,46.98550,-124.56417,2019-10-10T21:26:22.000Z,1,*0000000000000100,88,SKQ201921S_CTD001,*0000000000000100,7,*0000000000000100,2019-10-10T21:42:49.000Z,4.20,*0000000000000100,4.17,46.98542,-124.56412,13.5842,*0000000000000100,13.5871,*0000000000000100,3.7563,*0000000010000100,3.7556,*0000000010000100,31.2901,31.2808,5.9266,*0000000010000100,5.9936,3.8040,*0000000010000100,0.6031,86.00,*0000000000000100,8.180,*0000000010000100,5.749,*0000000000000100,*0000000000001000,4.505,2.535,1.6009,*0000000000000100,*0000000000001000,0.5010,7.7533,0.0762,0.0693,0.2600,*0000000000000100,*0000000000001000,31.3222,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,1920.32,*0000000000000101,*0000000000000100,271.56,21.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2157.41,-9999999,-9999999,8.173,10.83,1743.44,166.05,3.951,2.583
SKQ201921S,CE07,CE07SHSM-00010 and CE07SHSM-00009,46.98550,-124.56417,2019-10-10T21:26:22.000Z,1,*0000000000000100,88,SKQ201921S_CTD001,*0000000000000100,7,*0000000000000100,2019-10-10T21:42:49.000Z,4.20,*0000000000000100,4.17,46.98542,-124.56412,13.5842,*0000000000000100,13.5871,*0000000000000100,3.7563,*0000000000000100,3.7556,*0000000000000100,31.2901,31.2808,5.9266,*0000000010000100,5.9936,3.8040,*0000000010000100,0.6031,86.00,*0000000000000100,8.180,*0000000000000100,5.747,*0000000000000100,*0000000000001000,4.922,2.705,1.6060,*0000000000000100,*0000000000001000,0.5428,6.8767,0.0726,0.0660,0.3026,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201921S,CE06,CE06ISSM-00010,47.13383,-124.27433,2019-10-12T12:55:12.000Z,2,*0000000000000100,29,SKQ201921S_CTD002,*0000000000000100,1,*0000000000000100,2019-10-12T13:00:42.000Z,26.41,*0000000000000100,26.18,47.13378,-124.27424,9.6043,*0000000000000100,9.5816,*0000000000000100,3.5786,*0000000010000100,3.5756,*0000000010000100,33.0005,32.9906,2.4549,*0000000010000100,6.4518,0.5618,*0000000010000100,0.4941,88.38,*0000000000000100,7.610,*0000000010000100,2.446,*0000000000000100,*0000000000001000,1.418,0.429,1.7209,*0000000000000100,*0000000000001000,2.1784,35.9955,19.3880,0.3470,3.0070,*0000000000000100,*0000000000001000,32.9100,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2173.86,*0000000000000101,*0000000000000100,808.96,21.4,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2239.64,-9999999,-9999999,7.758,36.4,2069.8,67.67,1.577,1.024
SKQ201921S,CE06,CE06ISSM-00010,47.13383,-124.27433,2019-10-12T12:55:12.000Z,2,*0000000000000100,29,SKQ201921S_CTD002,*0000000000000100,1,*0000000000000100,2019-10-12T13:00:42.000Z,26.41,*0000000000000100,26.18,47.13378,-124.27424,9.6043,*0000000000000100,9.5816,*0000000000000100,3.5786,*0000000000000100,3.5756,*0000000000000100,33.0005,32.9906,2.4549,*0000000010000100,6.4518,0.5618,*0000000010000100,0.4941,88.38,*0000000000000100,7.610,*0000000000000100,2.459,*0000000000000100,*0000000000001000,1.436,0.428,1.7236,*0000000000000100,*0000000000001000,2.1741,35.8136,19.6064,0.3602,2.9096,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201921S,CE06,CE06ISSM-00010,47.13383,-124.27433,2019-10-12T12:55:12.000Z,2,*0000000000000100,29,SKQ201921S_CTD002,*0000000000000100,4,*0000000000000100,2019-10-12T13:02:45.000Z,16.36,*0000000000000100,16.22,47.13376,-124.27424,13.1182,*0000000000000100,13.0068,*0000000000000100,3.7856,*0000000000000100,3.7784,*0000000000000100,31.9456,31.9715,4.7362,*0000000000000100,6.0268,6.3000,*0000000010000100,0.6830,84.30,*0000000000000100,8.035,*0000000000000100,-9999999,-9999999,-9999999,4.221,0.613,1.8198,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ201921S,CE06,CE06ISSM-00010,47.13383,-124.27433,2019-10-12T12:55:12.000Z,2,*0000000000000100,29,SKQ201921S_CTD002,*0000000000000100,4,*0000000000000100,2019-10-12T13:02:45.000Z,16.36,*0000000000000100,16.22,47.13376,-124.27424,13.1182,*0000000000000100,13.0068,*0000000000000100,3.7856,*0000000000000100,3.7784,*0000000000000100,31.9456,31.9715,4.7362,*0000000000000100,6.0268,6.3000,*0000000010000100,0.6830,84.30,*0000000000000100,8.035,*0000000000000100,-9999999,-9999999,-9999999,4.183,0.669,1.8095,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
