Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
TN380,CE06,CE06ISSM-00011 and CE06ISSP-00012,47.13418,-124.27180,2020-07-04T23:14:00.000Z,1,*0000000000000001,31,None,*0000000000000001,1,*0000000000000100,2020-07-04T23:16:00.000Z,-9999999,*0000000000100001,-9999999,-9999999,-9999999,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000010100001,-9999999,*0000000010100001,-9999999,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000000100001,-9999999,-9999999,2.057,*0000000000000100,*0000000000001000,2.979,2.155,1.529,*0000000000000100,*0000000000001000,2.256,40.965,21.832,0.389,3.124,*0000000000000100,*0000000000001000,32.8951,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2208.90,*0000000000000101,*0000000000000100,926.69,24.0,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2254.52,-9999999,-9999999,7.704,43.05,2107.17,58.68,1.366,0.885
TN380,CE06,CE06ISSM-00011 and CE06ISSP-00012,47.13418,-124.27180,2020-07-04T23:14:00.000Z,1,*0000000000000001,31,None,*0000000000000001,1,*0000000000000100,2020-07-04T23:16:00.000Z,-9999999,*0000000000100001,-9999999,-9999999,-9999999,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,-9999999,-9999999,*0000000000100001,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000000100001,-9999999,-9999999,-9999999,*0000000000000001,*0000000000001000,3.301,2.500,1.519,*0000000000000100,*0000000000001000,2.265,40.323,22.024,0.406,3.269,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN380,CE06,CE06ISSM-00011 and CE06ISSP-00012,47.13418,-124.27180,2020-07-04T23:14:00.000Z,1,*0000000000000001,31,None,*0000000000000001,3,*0000000000000100,2020-07-04T23:18:00.000Z,-9999999,*0000000000100001,-9999999,-9999999,-9999999,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,-9999999,-9999999,*0000000000100001,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000000100001,-9999999,-9999999,-9999999,-9999999,-9999999,7.794,1.827,1.739,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN380,CE06,CE06ISSM-00011 and CE06ISSP-00012,47.13418,-124.27180,2020-07-04T23:14:00.000Z,1,*0000000000000001,31,None,*0000000000000001,3,*0000000000000100,2020-07-04T23:18:00.000Z,-9999999,*0000000000100001,-9999999,-9999999,-9999999,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,-9999999,-9999999,*0000000000100001,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000000100001,-9999999,-9999999,-9999999,-9999999,-9999999,6.742,1.839,1.717,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN380,CE06,CE06ISSM-00011 and CE06ISSP-00012,47.13418,-124.27180,2020-07-04T23:14:00.000Z,1,*0000000000000001,31,None,*0000000000000001,5,*0000000000000100,2020-07-04T23:20:00.000Z,-9999999,*0000000000100001,-9999999,-9999999,-9999999,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000010100001,-9999999,*0000000010100001,-9999999,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000000100001,-9999999,-9999999,5.755,*0000000000000100,*0000000000001000,6.655,1.607,1.735,*0000000000000100,*0000000000001000,0.927,7.869,4.806,0.163,0.521,*0000000000000100,*0000000000001000,31.9735,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2015.89,*0000000000000101,*0000000000000100,341.65,23.7,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2211.91,-9999999,-9999999,8.096,14.34,1860.72,140.83,3.325,2.167
TN380,CE06,CE06ISSM-00011 and CE06ISSP-00012,47.13418,-124.27180,2020-07-04T23:14:00.000Z,1,*0000000000000001,31,None,*0000000000000001,5,*0000000000000100,2020-07-04T23:20:00.000Z,-9999999,*0000000000100001,-9999999,-9999999,-9999999,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000000100001,-9999999,-9999999,5.866,*0000000000000100,*0000000000001000,6.655,1.767,1.721,*0000000000000100,*0000000000001000,0.929,8.686,4.790,0.164,0.316,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN380,CE06,CE06ISSM-00011 and CE06ISSP-00012,47.13418,-124.27180,2020-07-04T23:14:00.000Z,1,*0000000000000001,31,None,*0000000000000001,7,*0000000000000100,2020-07-04T23:21:00.000Z,-9999999,*0000000000100001,-9999999,-9999999,-9999999,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000010100001,-9999999,*0000000010100001,-9999999,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000000100001,-9999999,-9999999,6.804,*0000000000000100,*0000000000001000,2.673,0.863,1.689,*0000000000000100,*0000000000001000,0.459,3.660,1.198,0.080,0.551,*0000000000000100,*0000000000001000,31.7113,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,1936.38,*0000000000000101,*0000000000000100,239.46,23.8,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2202.5,-9999999,-9999999,8.225,9.69,1741.51,185.18,4.385,2.864
TN380,CE06,CE06ISSM-00011 and CE06ISSP-00012,47.13418,-124.27180,2020-07-04T23:14:00.000Z,1,*0000000000000001,31,None,*0000000000000001,7,*0000000000000100,2020-07-04T23:21:00.000Z,-9999999,*0000000000100001,-9999999,-9999999,-9999999,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,*0000000000100001,-9999999,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000010100001,-9999999,-9999999,*0000000000100001,-9999999,-9999999,6.813,*0000000000000100,*0000000000001000,2.249,0.727,1.689,*0000000000000100,*0000000000001000,0.496,2.691,1.298,0.065,0.113,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN380,CE07,CE07SHSM-00011 and CE07SHSP-00009,46.98700,-124.57100,2020-07-05T03:13:14.000Z,2,*0000000000000100,89,TN380-002,*0000000000000100,1,*0000000000000100,2020-07-05T03:20:38.000Z,85.08,*0000000000000100,84.35,46.98696,-124.57092,7.2393,*0000000000000100,7.2401,*0000000000000100,3.4542,*0000000010000100,3.4549,*0000000010000100,33.9040,33.9110,1.4515,*0000000010000100,6.7628,0.0600,*0000000010000100,0.7494,82.92,*0000000000000100,-9999999,-9999999,1.234,*0000000000000100,*0000000000001000,0.083,0.237,1.237,*0000000000000100,*0000000000001000,2.708,53.507,31.262,0.327,1.362,*0000000000000100,*0000000000001000,33.9029,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,2234.57,*0000000000000101,*0000000000000100,881.11,24.2,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2283.15,-9999999,-9999999,7.722,42.73,2131.72,60.13,1.374,0.889
TN380,CE07,CE07SHSM-00011 and CE07SHSP-00009,46.98700,-124.57100,2020-07-05T03:13:14.000Z,2,*0000000000000100,89,TN380-002,*0000000000000100,1,*0000000000000100,2020-07-05T03:20:38.000Z,85.08,*0000000000000100,84.35,46.98696,-124.57092,7.2393,*0000000000000100,7.2401,*0000000000000100,3.4542,*0000000000000100,3.4549,*0000000000000100,33.9040,33.9110,1.4515,*0000000010000100,6.7628,0.0600,*0000000010000100,0.7494,82.92,*0000000000000100,-9999999,-9999999,1.235,*0000000000000100,*0000000000001000,0.057,0.234,1.179,*0000000000000100,*0000000000001000,2.612,50.592,29.660,0.349,1.635,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
